right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
simple:square;;;visual;0;neutral;;neutral;True;12.833;timbre;;True;neutral;;75;1;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
red:light;;;visual;0;neutral;;;False;14.318;lightness;;True;blue;;75;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
red:square;;;visual;0;neutral;;neutral;True;9.73;timbre;;True;blue;;75;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
red:low;;;visual;0;neutral;;high;True;4.316;pitch;;True;blue;;50;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
smooth:light;;;visual;0;pointy;;;False;13.47;lightness;;True;neutral;;75;7;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
sine:low;;;auditory;0;neutral;;high;True;13.337;pitch;;1;neutral;;75;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
dark:low;;;visual;0;neutral;;high;True;2.307;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
smooth:complex;;;visual;0;pointy;;;False;14.264;complexity;;True;neutral;;75;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
simple:low;;;visual;0;neutral;;low;True;7.058;pitch;;True;neutral;;75;1;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
smooth:square;;;visual;0;pointy;;neutral;True;2.666;timbre;;True;neutral;;75;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
simple:light;;;visual;0;neutral;;;False;20.786;lightness;;True;neutral;;50;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;19;yes;535;no
