right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
simple:blue;;;visual;0;neutral;;;False;53.97;hue;;True;red;;75;7;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
smooth:square;;;visual;0;smooth;;neutral;True;29.217;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
red:light;;;visual;0;neutral;;;False;21.193;lightness;;True;blue;;75;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
smooth:complex;;;visual;0;pointy;;;False;25.251;complexity;;True;neutral;;75;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
red:square;;;visual;0;neutral;;neutral;True;20.003;timbre;;True;red;;50;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;red:sine;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
sine:low;;;auditory;0;neutral;;high;True;12.354;pitch;;1;neutral;;50;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
simple:low;;;visual;0;neutral;;low;True;13.41;pitch;;True;neutral;;50;7;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
simple:square;;;visual;0;neutral;;neutral;True;18.427;timbre;;True;neutral;;75;1;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
dark:square;;;visual;0;neutral;;neutral;True;8.224;timbre;;True;neutral;;75;1;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
smooth:light;;;visual;0;pointy;;;False;19.879;lightness;;True;neutral;;75;1;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
dark:low;;;visual;0;neutral;;high;True;2.55;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
simple:light;;;visual;0;neutral;;;False;11.816;lightness;;True;neutral;;75;1;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
smooth:blue;;;visual;0;pointy;;;False;10.866;hue;;True;red;;50;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
red:low;;;visual;0;neutral;;low;True;5.05;pitch;;True;blue;;50;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
smooth:low;;;visual;0;pointy;;high;True;9.995;pitch;;True;neutral;;75;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
simple:blue;;;visual;0;neutral;;;False;14.141;hue;;True;red;;50;7;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
smooth:square;;;visual;0;smooth;;neutral;True;4.447;timbre;;True;neutral;;75;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
red:light;;;visual;0;neutral;;;False;12.497;lightness;;True;blue;;75;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
smooth:complex;;;visual;0;pointy;;;False;25.15;complexity;;True;neutral;;50;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
red:square;;;visual;0;neutral;;neutral;True;4.162;timbre;;True;red;;50;7;rate;auditory;neutral;hue;square;0;neutral;;red:sine;red:square;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
sine:low;;;auditory;0;neutral;;low;True;14.225;pitch;;1;neutral;;75;1;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
simple:low;;;visual;0;neutral;;high;True;11.571;pitch;;True;neutral;;50;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Malene;keyboard;dk;rate_CMC;female;22;yes;522;no
