right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:low;;;visual;0;pointy;;high;True;14.634;pitch;;True;neutral;;75;2;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
dark:low;;;visual;0;neutral;;high;True;9.331;pitch;;True;neutral;;75;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
smooth:light;;;visual;0;pointy;;;False;19.746;lightness;;True;neutral;;50;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
simple:low;;;visual;0;neutral;;low;True;17.363;pitch;;True;neutral;;50;3;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
sine:low;;;auditory;0;neutral;;low;True;12.51;pitch;;1;neutral;;50;6;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:low;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
red:light;;;visual;0;neutral;;;False;17.518;lightness;;True;blue;;50;2;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
smooth:blue;;;visual;0;pointy;;;False;16.91;hue;;True;red;;50;2;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
simple:blue;;;visual;0;neutral;;;False;14.703;hue;;True;red;;75;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
dark:square;;;visual;0;neutral;;neutral;True;4.448;timbre;;True;neutral;;75;3;rate;auditory;dark;lightness;sine;0;neutral;;dark:sine;dark:sine;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
simple:square;;;visual;0;neutral;;neutral;True;2.545;timbre;;True;neutral;;75;1;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
red:low;;;visual;0;neutral;;high;True;1.842;pitch;;True;blue;;75;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
smooth:square;;;visual;0;pointy;;neutral;True;9.241;timbre;;True;neutral;;50;6;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
simple:light;;;visual;0;neutral;;;False;23.477;lightness;;True;neutral;;50;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
red:square;;;visual;0;neutral;;neutral;True;12.993;timbre;;True;blue;;50;3;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
smooth:complex;;;visual;0;pointy;;;False;12.987;complexity;;True;neutral;;50;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
smooth:low;;;visual;0;pointy;;high;True;2.859;pitch;;True;neutral;;50;2;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
dark:low;;;visual;0;neutral;;high;True;2.916;pitch;;True;neutral;;50;5;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
smooth:light;;;visual;0;pointy;;;False;15.826;lightness;;True;neutral;;75;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
simple:low;;;visual;0;neutral;;high;True;2.411;pitch;;True;neutral;;75;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
sine:low;;;auditory;0;neutral;;high;True;5.914;pitch;;1;neutral;;50;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
red:light;;;visual;0;neutral;;;False;15.897;lightness;;True;blue;;75;3;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
smooth:blue;;;visual;0;pointy;;;False;10.275;hue;;True;red;;50;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
simple:blue;;;visual;0;neutral;;;False;6.808;hue;;True;red;;50;2;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
dark:square;;;visual;0;neutral;;neutral;True;1.679;timbre;;True;neutral;;50;1;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;22;yes;539;no
