right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
red:light;;;visual;0;neutral;;;False;25.617;lightness;;True;blue;;75;3;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
smooth:complex;;;visual;0;pointy;;;False;19.317;complexity;;True;neutral;;75;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
smooth:low;;;visual;0;smooth;;high;True;2.785;pitch;;True;neutral;;50;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:high;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
red:square;;;visual;0;neutral;;neutral;True;7.027;timbre;;True;blue;;50;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
smooth:square;;;visual;0;pointy;;neutral;True;5.035;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
simple:light;;;visual;0;neutral;;;False;17.88;lightness;;True;neutral;;75;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
simple:blue;;;visual;0;neutral;;;False;7.045;hue;;True;red;;50;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
simple:low;;;visual;0;neutral;;low;True;3.598;pitch;;True;neutral;;75;6;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
sine:low;;;auditory;0;neutral;;high;True;8.137;pitch;;1;neutral;;50;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
dark:square;;;visual;0;neutral;;neutral;True;6.569;timbre;;True;neutral;;50;1;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
red:low;;;visual;0;neutral;;low;True;2.987;pitch;;True;blue;;75;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Josefine;keyboard;dk;rate_CMC;male;25;yes;529;no
