right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
simple:low;;;visual;0;neutral;;high;True;19.912;pitch;;True;neutral;;75;2;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:light;;;visual;0;pointy;;;False;26.111;lightness;;True;neutral;;75;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:light;;;visual;0;neutral;;;False;23.407;lightness;;True;blue;;75;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:square;;;visual;0;neutral;;neutral;True;17.026;timbre;;True;blue;;75;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
sine:low;;;auditory;0;neutral;;low;True;13.766;pitch;;1;neutral;;75;4;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:light;;;visual;0;neutral;;;False;26.603;lightness;;True;neutral;;75;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:square;;;visual;0;pointy;;neutral;True;3.302;timbre;;True;neutral;;75;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:low;;;visual;0;neutral;;high;True;5.178;pitch;;True;blue;;50;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:complex;;;visual;0;pointy;;;False;30.742;complexity;;True;neutral;;50;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:low;;;visual;0;pointy;;high;True;3.523;pitch;;True;neutral;;50;2;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:square;;;visual;0;neutral;;neutral;True;5.326;timbre;;True;neutral;;75;2;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
dark:low;;;visual;0;neutral;;high;True;2.841;pitch;;True;neutral;;50;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:blue;;;visual;0;pointy;;;False;12.657;hue;;True;red;;75;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
dark:square;;;visual;0;neutral;;neutral;True;4.986;timbre;;True;neutral;;75;3;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:blue;;;visual;0;neutral;;;False;22.962;hue;;True;red;;50;4;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:low;;;visual;0;neutral;;high;True;3.841;pitch;;True;neutral;;50;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:light;;;visual;0;pointy;;;False;12.648;lightness;;True;neutral;;75;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:light;;;visual;0;neutral;;;False;14.484;lightness;;True;blue;;50;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:square;;;visual;0;neutral;;neutral;True;2.051;timbre;;True;blue;;75;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
sine:low;;;auditory;0;neutral;;high;True;5.684;pitch;;1;neutral;;75;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:light;;;visual;0;neutral;;;False;16.001;lightness;;True;neutral;;75;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:square;;;visual;0;smooth;;neutral;True;9.125;timbre;;True;neutral;;75;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:low;;;visual;0;neutral;;high;True;3.955;pitch;;True;red;;75;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:complex;;;visual;0;pointy;;;False;11.974;complexity;;True;neutral;;75;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:low;;;visual;0;pointy;;high;True;3.821;pitch;;True;neutral;;50;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:square;;;visual;0;neutral;;neutral;True;2.371;timbre;;True;neutral;;50;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
dark:low;;;visual;0;neutral;;high;True;2.321;pitch;;True;neutral;;50;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:blue;;;visual;0;pointy;;;False;9.252;hue;;True;red;;50;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
dark:square;;;visual;0;neutral;;neutral;True;2.281;timbre;;True;neutral;;75;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:blue;;;visual;0;neutral;;;False;12.398;hue;;True;red;;50;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:low;;;visual;0;neutral;;high;True;4.078;pitch;;True;neutral;;50;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:light;;;visual;0;pointy;;;False;14.637;lightness;;True;neutral;;50;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:light;;;visual;0;neutral;;;False;7.832;lightness;;True;blue;;50;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:square;;;visual;0;neutral;;neutral;True;2.7;timbre;;True;blue;;50;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
sine:low;;;auditory;0;neutral;;high;True;9.385;pitch;;1;neutral;;50;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:light;;;visual;0;neutral;;;False;10.229;lightness;;True;neutral;;50;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:square;;;visual;0;pointy;;neutral;True;1.901;timbre;;True;neutral;;50;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
red:low;;;visual;0;neutral;;high;True;3.394;pitch;;True;red;;50;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:complex;;;visual;0;pointy;;;False;15.13;complexity;;True;neutral;;75;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:low;;;visual;0;pointy;;high;True;4.248;pitch;;True;neutral;;50;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:square;;;visual;0;neutral;;neutral;True;1.853;timbre;;True;neutral;;75;2;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
dark:low;;;visual;0;neutral;;high;True;2.615;pitch;;True;neutral;;75;5;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
smooth:blue;;;visual;0;pointy;;;False;8.659;hue;;True;red;;50;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
dark:square;;;visual;0;neutral;;neutral;True;1.731;timbre;;True;neutral;;75;3;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
simple:blue;;;visual;0;neutral;;;False;14.217;hue;;True;red;;75;7;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Josefine;keyboard;dk;rate_CMC;female;21;yes;528;no
