right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
red:light;;;visual;0;neutral;;;False;20.7;lightness;;True;blue;;50;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
red:low;;;visual;0;neutral;;high;True;16.806;pitch;;True;blue;;50;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
dark:square;;;visual;0;neutral;;neutral;True;1.809;timbre;;True;neutral;;50;7;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
smooth:complex;;;visual;0;pointy;;;False;8.436;complexity;;True;neutral;;75;7;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
smooth:blue;;;visual;0;pointy;;;False;14.729;hue;;True;red;;75;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
sine:low;;;auditory;0;neutral;;high;True;1.641;pitch;;1;neutral;;50;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
smooth:square;;;visual;0;pointy;;neutral;True;1.754;timbre;;True;neutral;;75;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
smooth:low;;;visual;0;pointy;;high;True;7.726;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
simple:light;;;visual;0;neutral;;;False;9.399;lightness;;True;neutral;;50;7;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
simple:square;;;visual;0;neutral;;neutral;True;1.957;timbre;;True;neutral;;75;1;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
red:square;;;visual;0;neutral;;neutral;True;1.627;timbre;;True;blue;;50;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
simple:low;;;visual;0;neutral;;high;True;2.282;pitch;;True;neutral;;50;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
dark:low;;;visual;0;neutral;;high;True;1.091;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
simple:blue;;;visual;0;neutral;;;False;3.518;hue;;True;red;;50;7;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Josefine;keyboard;dk;rate_CMC;female;26;yes;517;no
