right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
red:low;;;visual;0;neutral;;high;True;24.015;pitch;;True;blue;;75;3;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
dark:low;;;visual;0;neutral;;high;True;7.424;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
smooth:low;;;visual;0;pointy;;high;True;5.113;pitch;;True;neutral;;75;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
smooth:complex;;;visual;0;pointy;;;False;38.148;complexity;;True;neutral;;75;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
smooth:square;;;visual;0;pointy;;neutral;True;8.777;timbre;;True;neutral;;50;2;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
red:light;;;visual;0;neutral;;;False;41.266;lightness;;True;blue;;50;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
smooth:light;;;visual;0;pointy;;;False;36.721;lightness;;True;neutral;;50;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
simple:square;;;visual;0;neutral;;neutral;True;16.657;timbre;;True;neutral;;75;5;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
simple:blue;;;visual;0;neutral;;;False;45.125;hue;;True;red;;75;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
sine:low;;;auditory;0;neutral;;high;True;14.938;pitch;;1;neutral;;50;3;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
simple:light;;;visual;0;neutral;;;False;24.406;lightness;;True;neutral;;75;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;532;no
