right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
dark:square;;;visual;0;neutral;;neutral;True;41.993;timbre;;True;neutral;;75;6;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
red:square;;;visual;0;neutral;;neutral;True;5.609;timbre;;True;blue;;75;2;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
dark:low;;;visual;0;neutral;;high;True;9.923;pitch;;True;neutral;;75;1;rate;auditory;dark;lightness;neutral;0;neutral;;dark:high;dark:high;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
sine:low;;;auditory;0;neutral;;low;True;4.252;pitch;;1;neutral;;75;2;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
red:low;;;visual;0;neutral;;low;True;4.281;pitch;;True;blue;;75;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
simple:light;;;visual;0;neutral;;;False;13.502;lightness;;True;neutral;;50;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
smooth:complex;;;visual;0;pointy;;;False;28.881;complexity;;True;neutral;;75;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
smooth:square;;;visual;0;pointy;;neutral;True;12.532;timbre;;True;neutral;;75;4;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
smooth:blue;;;visual;0;pointy;;;False;15.698;hue;;True;red;;50;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
simple:low;;;visual;0;neutral;;low;True;4.255;pitch;;True;neutral;;75;2;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
red:light;;;visual;0;neutral;;;False;19.248;lightness;;True;blue;;75;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
smooth:light;;;visual;0;pointy;;;False;8.446;lightness;;True;neutral;;50;1;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
simple:blue;;;visual;0;neutral;;;False;18.783;hue;;True;red;;75;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
smooth:low;;;visual;0;smooth;;low;True;11.909;pitch;;True;neutral;;75;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
simple:square;;;visual;0;neutral;;neutral;True;4.742;timbre;;True;neutral;;50;2;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
dark:square;;;visual;0;neutral;;neutral;True;2.823;timbre;;True;neutral;;50;6;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
red:square;;;visual;0;neutral;;neutral;True;2.817;timbre;;True;blue;;50;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
dark:low;;;visual;0;neutral;;high;True;4.123;pitch;;True;neutral;;75;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
sine:low;;;auditory;0;neutral;;high;True;2.749;pitch;;1;neutral;;75;2;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
red:low;;;visual;0;neutral;;low;True;3.597;pitch;;True;blue;;50;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
simple:light;;;visual;0;neutral;;;False;9.151;lightness;;True;neutral;;50;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;24;yes;518;no
