right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
red:square;;;visual;0;neutral;;neutral;True;12.361;timbre;;True;blue;;50;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
smooth:low;;;visual;0;smooth;;low;True;13.634;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
dark:low;;;visual;0;neutral;;high;True;7.548;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
simple:light;;;visual;0;neutral;;;False;14.888;lightness;;True;neutral;;50;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
dark:square;;;visual;0;neutral;;neutral;True;6.339;timbre;;True;neutral;;75;7;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
smooth:light;;;visual;0;pointy;;;False;15.406;lightness;;True;neutral;;75;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
smooth:blue;;;visual;0;pointy;;;False;10.743;hue;;True;red;;75;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
red:light;;;visual;0;neutral;;;False;22.599;lightness;;True;blue;;75;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
simple:square;;;visual;0;neutral;;neutral;True;21.464;timbre;;True;neutral;;50;6;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
smooth:complex;;;visual;0;pointy;;;False;18.641;complexity;;True;neutral;;50;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
simple:blue;;;visual;0;neutral;;;False;12.175;hue;;True;red;;50;1;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
simple:low;;;visual;0;neutral;;high;True;18.54;pitch;;True;neutral;;75;1;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:high;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
sine:low;;;auditory;0;neutral;;high;True;12.265;pitch;;1;neutral;;75;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
smooth:square;;;visual;0;smooth;;neutral;True;8.334;timbre;;True;neutral;;75;6;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;smooth:square;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
red:low;;;visual;0;neutral;;low;True;11.624;pitch;;True;red;;75;6;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:low;100;Hazel;keyboard;dk;rate_CMC;male;20;yes;548;no
