right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
dark:square;;;visual;0;neutral;;neutral;True;15.08;timbre;;True;neutral;;50;2;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
smooth:complex;;;visual;0;pointy;;;False;18.238;complexity;;True;neutral;;75;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
simple:light;;;visual;0;neutral;;;False;34.862;lightness;;True;neutral;;75;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
simple:blue;;;visual;0;neutral;;;False;35.162;hue;;True;red;;50;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
red:light;;;visual;0;neutral;;;False;19.431;lightness;;True;blue;;50;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
simple:low;;;visual;0;neutral;;low;True;9.131;pitch;;True;neutral;;50;7;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
simple:square;;;visual;0;neutral;;neutral;True;5.897;timbre;;True;neutral;;50;1;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
smooth:low;;;visual;0;pointy;;high;True;4.601;pitch;;True;neutral;;50;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
red:square;;;visual;0;neutral;;neutral;True;4.18;timbre;;True;blue;;75;2;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
smooth:light;;;visual;0;pointy;;;False;11.486;lightness;;True;neutral;;75;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
dark:low;;;visual;0;neutral;;high;True;2.44;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
smooth:square;;;visual;0;pointy;;neutral;True;2.521;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
sine:low;;;auditory;0;neutral;;high;True;16.779;pitch;;1;neutral;;50;3;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
smooth:blue;;;visual;0;pointy;;;False;21.309;hue;;True;red;;50;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;540;no
