right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
simple:blue;;;visual;0;neutral;;;False;42.978;hue;;True;red;;50;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
dark:square;;;visual;0;neutral;;neutral;True;7.587;timbre;;True;neutral;;75;3;rate;auditory;dark;lightness;sine;0;neutral;;dark:sine;dark:sine;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
smooth:square;;;visual;0;pointy;;neutral;True;2.326;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
dark:low;;;visual;0;neutral;;high;True;2.168;pitch;;True;neutral;;50;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
red:square;;;visual;0;neutral;;neutral;True;7.197;timbre;;True;blue;;50;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
simple:low;;;visual;0;neutral;;low;True;13.125;pitch;;True;neutral;;50;5;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
red:light;;;visual;0;neutral;;;False;21.002;lightness;;True;blue;;75;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
red:low;;;visual;0;neutral;;high;True;15.574;pitch;;True;blue;;50;5;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
smooth:low;;;visual;0;pointy;;high;True;3.378;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
smooth:complex;;;visual;0;pointy;;;False;22.635;complexity;;True;neutral;;50;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
smooth:light;;;visual;0;pointy;;;False;8.172;lightness;;True;neutral;;50;1;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;male;19;yes;512;no
