right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
red:square;;;visual;0;neutral;;neutral;True;33.932;timbre;;True;blue;;50;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
dark:square;;;visual;0;neutral;;neutral;True;15.976;timbre;;True;neutral;;75;2;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:square;;;visual;0;neutral;;neutral;True;7.42;timbre;;True;neutral;;50;1;rate;auditory;neutral;complexity;square;0;simple;;simple:sine;simple:square;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:low;;;visual;0;neutral;;high;True;12.584;pitch;;True;blue;;50;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
dark:low;;;visual;0;neutral;;high;True;10.284;pitch;;True;neutral;;50;7;rate;auditory;dark;lightness;neutral;0;neutral;;dark:high;dark:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:blue;;;visual;0;neutral;;;False;37.178;hue;;True;red;;50;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:square;;;visual;0;pointy;;neutral;True;6.016;timbre;;True;neutral;;75;1;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:complex;;;visual;0;pointy;;;False;37.465;complexity;;True;neutral;;75;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:light;;;visual;0;neutral;;;False;35.082;lightness;;True;blue;;75;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:low;;;visual;0;pointy;;low;True;8.23;pitch;;True;neutral;;75;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:low;;;visual;0;neutral;;low;True;3.52;pitch;;True;neutral;;75;7;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:light;;;visual;0;pointy;;;False;23.776;lightness;;True;neutral;;50;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:light;;;visual;0;neutral;;;False;15.829;lightness;;True;neutral;;50;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:blue;;;visual;0;pointy;;;False;19.129;hue;;True;red;;75;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
sine:low;;;auditory;0;neutral;;high;True;21.77;pitch;;1;neutral;;75;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:square;;;visual;0;neutral;;neutral;True;7.065;timbre;;True;blue;;75;6;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
dark:square;;;visual;0;neutral;;neutral;True;10.217;timbre;;True;neutral;;50;1;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:square;;;visual;0;neutral;;neutral;True;2.53;timbre;;True;neutral;;50;1;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:low;;;visual;0;neutral;;low;True;4.36;pitch;;True;blue;;50;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
dark:low;;;visual;0;neutral;;high;True;2.235;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:blue;;;visual;0;neutral;;;False;14.079;hue;;True;red;;75;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:square;;;visual;0;pointy;;neutral;True;7.36;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:complex;;;visual;0;pointy;;;False;12.896;complexity;;True;neutral;;50;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:light;;;visual;0;neutral;;;False;32.23;lightness;;True;blue;;75;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:low;;;visual;0;smooth;;low;True;6.802;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:low;;;visual;0;neutral;;high;True;2.327;pitch;;True;neutral;;75;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:light;;;visual;0;pointy;;;False;11.023;lightness;;True;neutral;;75;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:light;;;visual;0;neutral;;;False;13.485;lightness;;True;neutral;;75;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:blue;;;visual;0;pointy;;;False;11.514;hue;;True;red;;50;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
sine:low;;;auditory;0;neutral;;high;True;2.57;pitch;;1;neutral;;50;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:square;;;visual;0;neutral;;neutral;True;5.885;timbre;;True;blue;;75;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
dark:square;;;visual;0;neutral;;neutral;True;3.56;timbre;;True;neutral;;75;2;rate;auditory;dark;lightness;sine;0;neutral;;dark:sine;dark:sine;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:square;;;visual;0;neutral;;neutral;True;7.058;timbre;;True;neutral;;50;2;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:low;;;visual;0;neutral;;high;True;3.817;pitch;;True;red;;75;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
dark:low;;;visual;0;neutral;;high;True;3.763;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:blue;;;visual;0;neutral;;;False;12.74;hue;;True;red;;50;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:square;;;visual;0;smooth;;neutral;True;2.959;timbre;;True;neutral;;75;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:complex;;;visual;0;pointy;;;False;11.413;complexity;;True;neutral;;50;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
red:light;;;visual;0;neutral;;;False;13.929;lightness;;True;blue;;75;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:low;;;visual;0;pointy;;high;True;12.826;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:low;;;visual;0;neutral;;high;True;3.453;pitch;;True;neutral;;75;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:light;;;visual;0;pointy;;;False;14.802;lightness;;True;neutral;;50;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
simple:light;;;visual;0;neutral;;;False;13.711;lightness;;True;neutral;;50;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
smooth:blue;;;visual;0;pointy;;;False;14.72;hue;;True;red;;50;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
sine:low;;;auditory;0;neutral;;high;True;49.536;pitch;;1;neutral;;50;4;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;33;yes;507;no
