right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:low;;;visual;0;pointy;;high;True;21.319;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
simple:light;;;visual;0;neutral;;;False;24.902;lightness;;True;neutral;;50;7;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
smooth:complex;;;visual;0;pointy;;;False;23.143;complexity;;True;neutral;;75;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
dark:low;;;visual;0;neutral;;high;True;4.924;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
simple:blue;;;visual;0;neutral;;;False;9.146;hue;;True;red;;75;7;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
smooth:blue;;;visual;0;pointy;;;False;19.171;hue;;True;red;;50;4;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
red:square;;;visual;0;neutral;;neutral;True;2.361;timbre;;True;blue;;50;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
smooth:square;;;visual;0;smooth;;neutral;True;6.872;timbre;;True;neutral;;75;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
simple:low;;;visual;0;neutral;;high;True;3.22;pitch;;True;neutral;;75;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
simple:square;;;visual;0;neutral;;neutral;True;2.551;timbre;;True;neutral;;75;1;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
smooth:light;;;visual;0;pointy;;;False;16.739;lightness;;True;neutral;;50;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
red:light;;;visual;0;neutral;;;False;7.331;lightness;;True;blue;;75;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
sine:low;;;auditory;0;neutral;;high;True;8.6;pitch;;1;neutral;;50;2;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
dark:square;;;visual;0;neutral;;neutral;True;1.944;timbre;;True;neutral;;50;1;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;547;no
