right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:complex;;;visual;0;pointy;;;False;24.667;complexity;;True;neutral;;75;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:low;;;visual;0;smooth;;low;True;10.449;pitch;;True;neutral;;75;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:square;;;visual;0;neutral;;neutral;True;11.126;timbre;;True;neutral;;75;2;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:light;;;visual;0;pointy;;;False;14.288;lightness;;True;neutral;;50;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:low;;;visual;0;neutral;;low;True;3.941;pitch;;True;blue;;75;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:square;;;visual;0;smooth;;neutral;True;2.867;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:square;;;visual;0;neutral;;neutral;True;2.326;timbre;;True;blue;;50;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:blue;;;visual;0;pointy;;;False;10.651;hue;;True;red;;75;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
sine:low;;;auditory;0;neutral;;high;True;4.355;pitch;;1;neutral;;50;4;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
dark:square;;;visual;0;neutral;;neutral;True;5.68;timbre;;True;neutral;;75;7;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:blue;;;visual;0;neutral;;;False;8.64;hue;;True;red;;75;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:light;;;visual;0;neutral;;;False;8.241;lightness;;True;blue;;50;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:light;;;visual;0;neutral;;;False;10.601;lightness;;True;neutral;;75;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:low;;;visual;0;neutral;;low;True;3.026;pitch;;True;neutral;;75;6;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
dark:low;;;visual;0;neutral;;high;True;6.555;pitch;;True;neutral;;50;2;rate;auditory;dark;lightness;neutral;0;neutral;;dark:high;dark:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:complex;;;visual;0;pointy;;;False;13.287;complexity;;True;neutral;;75;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:low;;;visual;0;pointy;;high;True;2.462;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:square;;;visual;0;neutral;;neutral;True;2.736;timbre;;True;neutral;;50;3;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:light;;;visual;0;pointy;;;False;14.826;lightness;;True;neutral;;75;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:low;;;visual;0;neutral;;low;True;5.92;pitch;;True;blue;;75;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:square;;;visual;0;smooth;;neutral;True;2.812;timbre;;True;neutral;;50;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:square;;;visual;0;neutral;;neutral;True;4.81;timbre;;True;blue;;75;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:blue;;;visual;0;pointy;;;False;15.745;hue;;True;red;;50;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
sine:low;;;auditory;0;neutral;;high;True;2.043;pitch;;1;neutral;;75;4;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
dark:square;;;visual;0;neutral;;neutral;True;7.707;timbre;;True;neutral;;50;5;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:blue;;;visual;0;neutral;;;False;9.772;hue;;True;red;;50;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:light;;;visual;0;neutral;;;False;6.746;lightness;;True;blue;;75;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:light;;;visual;0;neutral;;;False;8.659;lightness;;True;neutral;;50;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:low;;;visual;0;neutral;;low;True;4.071;pitch;;True;neutral;;50;6;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:low;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
dark:low;;;visual;0;neutral;;high;True;3.903;pitch;;True;neutral;;75;2;rate;auditory;dark;lightness;neutral;0;neutral;;dark:high;dark:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:complex;;;visual;0;pointy;;;False;17.312;complexity;;True;neutral;;50;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:low;;;visual;0;smooth;;high;True;11.896;pitch;;True;neutral;;50;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
simple:square;;;visual;0;neutral;;neutral;True;6.219;timbre;;True;neutral;;75;2;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:light;;;visual;0;pointy;;;False;8.813;lightness;;True;neutral;;75;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:low;;;visual;0;neutral;;high;True;4.359;pitch;;True;red;;50;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:square;;;visual;0;pointy;;neutral;True;4.064;timbre;;True;neutral;;50;2;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
red:square;;;visual;0;neutral;;neutral;True;2.315;timbre;;True;blue;;50;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
smooth:blue;;;visual;0;pointy;;;False;7.117;hue;;True;red;;50;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;519;no
