right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
simple:square;;;visual;0;neutral;;neutral;True;8.336;timbre;;True;neutral;;50;7;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
sine:low;;;auditory;0;neutral;;high;True;3.603;pitch;;1;neutral;;50;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
simple:light;;;visual;0;neutral;;;False;16.379;lightness;;True;neutral;;50;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
smooth:square;;;visual;0;pointy;;neutral;True;6.535;timbre;;True;neutral;;75;1;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
red:square;;;visual;0;neutral;;neutral;True;6.991;timbre;;True;blue;;50;1;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
smooth:low;;;visual;0;pointy;;high;True;8.749;pitch;;True;neutral;;50;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
simple:low;;;visual;0;neutral;;high;True;4.443;pitch;;True;neutral;;75;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
red:light;;;visual;0;neutral;;;False;17.719;lightness;;True;blue;;50;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
simple:blue;;;visual;0;neutral;;;False;11.338;hue;;True;red;;50;2;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
dark:square;;;visual;0;neutral;;neutral;True;9.505;timbre;;True;neutral;;50;5;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
smooth:blue;;;visual;0;pointy;;;False;18.509;hue;;True;red;;50;2;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
red:low;;;visual;0;neutral;;high;True;2.129;pitch;;True;blue;;75;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
smooth:complex;;;visual;0;pointy;;;False;17.865;complexity;;True;neutral;;75;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
smooth:light;;;visual;0;pointy;;;False;14.982;lightness;;True;neutral;;75;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Josefine;keyboard;dk;rate_CMC;female;22;yes;534;no
