right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
sine:low;;;auditory;0;neutral;;high;True;11.115;pitch;;1;neutral;;50;3;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
dark:low;;;visual;0;neutral;;high;True;4.83;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
simple:square;;;visual;0;neutral;;neutral;True;7.243;timbre;;True;neutral;;75;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
dark:square;;;visual;0;neutral;;neutral;True;4.579;timbre;;True;neutral;;50;3;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
smooth:low;;;visual;0;pointy;;high;True;1.974;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
red:low;;;visual;0;neutral;;high;True;4.615;pitch;;True;blue;;75;5;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
smooth:square;;;visual;0;pointy;;neutral;True;5.017;timbre;;True;neutral;;50;3;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
simple:light;;;visual;0;neutral;;;False;22.453;lightness;;True;neutral;;50;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
red:square;;;visual;0;neutral;;neutral;True;2.435;timbre;;True;blue;;75;3;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
smooth:blue;;;visual;0;pointy;;;False;9.603;hue;;True;red;;75;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
simple:blue;;;visual;0;neutral;;;False;17.405;hue;;True;red;;75;4;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
smooth:complex;;;visual;0;pointy;;;False;20.813;complexity;;True;neutral;;75;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;21;yes;538;no
