right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:light;;;visual;0;pointy;;;False;36.698;lightness;;True;neutral;;50;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:low;;;visual;0;pointy;;low;True;6.208;pitch;;True;neutral;;50;2;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:square;;;visual;0;neutral;;neutral;True;4.924;timbre;;True;blue;;75;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:light;;;visual;0;neutral;;;False;20.939;lightness;;True;blue;;75;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:blue;;;visual;0;neutral;;;False;18.049;hue;;True;red;;50;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:square;;;visual;0;neutral;;neutral;True;5.07;timbre;;True;neutral;;75;3;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
sine:low;;;auditory;0;neutral;;high;True;2.941;pitch;;1;neutral;;75;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:low;;;visual;0;neutral;;high;True;2.965;pitch;;True;blue;;50;7;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:blue;;;visual;0;pointy;;;False;17.075;hue;;True;red;;75;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:complex;;;visual;0;pointy;;;False;7.935;complexity;;True;neutral;;50;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:square;;;visual;0;pointy;;neutral;True;5.101;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
dark:low;;;visual;0;neutral;;high;True;1.89;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
dark:square;;;visual;0;neutral;;neutral;True;2.376;timbre;;True;neutral;;75;1;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:light;;;visual;0;neutral;;;False;16.173;lightness;;True;neutral;;75;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:low;;;visual;0;neutral;;low;True;6.104;pitch;;True;neutral;;75;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:light;;;visual;0;pointy;;;False;16.037;lightness;;True;neutral;;50;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:low;;;visual;0;pointy;;high;True;6.948;pitch;;True;neutral;;75;4;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:square;;;visual;0;neutral;;neutral;True;4.825;timbre;;True;blue;;50;7;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:light;;;visual;0;neutral;;;False;9.461;lightness;;True;blue;;50;2;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:blue;;;visual;0;neutral;;;False;9.525;hue;;True;red;;75;2;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:square;;;visual;0;neutral;;neutral;True;3.736;timbre;;True;neutral;;75;7;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
sine:low;;;auditory;0;neutral;;high;True;4.209;pitch;;1;neutral;;75;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:low;;;visual;0;neutral;;high;True;3.096;pitch;;True;blue;;75;7;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:blue;;;visual;0;pointy;;;False;10.391;hue;;True;red;;50;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:complex;;;visual;0;pointy;;;False;8.513;complexity;;True;neutral;;50;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:square;;;visual;0;pointy;;neutral;True;7.293;timbre;;True;neutral;;50;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
dark:low;;;visual;0;neutral;;high;True;2.401;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
dark:square;;;visual;0;neutral;;neutral;True;5.834;timbre;;True;neutral;;75;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:light;;;visual;0;neutral;;;False;10.889;lightness;;True;neutral;;75;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:low;;;visual;0;neutral;;high;True;2.736;pitch;;True;neutral;;50;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:light;;;visual;0;pointy;;;False;7.136;lightness;;True;neutral;;75;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:low;;;visual;0;pointy;;high;True;2.21;pitch;;True;neutral;;75;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:square;;;visual;0;neutral;;neutral;True;23.508;timbre;;True;blue;;75;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:light;;;visual;0;neutral;;;False;13.547;lightness;;True;blue;;50;3;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:blue;;;visual;0;neutral;;;False;17.119;hue;;True;red;;50;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:square;;;visual;0;neutral;;neutral;True;3.877;timbre;;True;neutral;;75;4;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
sine:low;;;auditory;0;neutral;;high;True;3.01;pitch;;1;neutral;;50;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
red:low;;;visual;0;neutral;;high;True;3.307;pitch;;True;blue;;50;7;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:blue;;;visual;0;pointy;;;False;9.382;hue;;True;red;;75;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:complex;;;visual;0;pointy;;;False;6.72;complexity;;True;neutral;;75;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
smooth:square;;;visual;0;smooth;;neutral;True;13.728;timbre;;True;neutral;;75;4;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
dark:low;;;visual;0;neutral;;high;True;7.265;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
dark:square;;;visual;0;neutral;;neutral;True;2.668;timbre;;True;neutral;;75;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:light;;;visual;0;neutral;;;False;6.161;lightness;;True;neutral;;75;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
simple:low;;;visual;0;neutral;;high;True;1.694;pitch;;True;neutral;;50;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;552;no
