right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:complex;;;visual;0;pointy;;;False;41.126;complexity;;True;neutral;;75;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
smooth:low;;;visual;0;pointy;;high;True;10.686;pitch;;True;neutral;;75;4;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
simple:light;;;visual;0;neutral;;;False;24.43;lightness;;True;neutral;;50;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
red:low;;;visual;0;neutral;;low;True;19.494;pitch;;True;blue;;75;3;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
smooth:square;;;visual;0;smooth;;neutral;True;16.922;timbre;;True;neutral;;50;3;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;smooth:square;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
simple:blue;;;visual;0;neutral;;;False;11.755;hue;;True;red;;75;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
simple:square;;;visual;0;neutral;;neutral;True;5.672;timbre;;True;neutral;;50;3;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
dark:square;;;visual;0;neutral;;neutral;True;3.622;timbre;;True;neutral;;75;3;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
smooth:blue;;;visual;0;pointy;;;False;21.342;hue;;True;red;;75;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
sine:low;;;auditory;0;neutral;;low;True;25.871;pitch;;1;neutral;;50;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
red:light;;;visual;0;neutral;;;False;12.351;lightness;;True;blue;;50;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
dark:low;;;visual;0;neutral;;high;True;6.256;pitch;;True;neutral;;75;5;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
smooth:light;;;visual;0;pointy;;;False;18.708;lightness;;True;neutral;;50;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
red:square;;;visual;0;neutral;;neutral;True;3.663;timbre;;True;red;;50;5;rate;auditory;neutral;hue;square;0;neutral;;red:sine;red:square;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
simple:low;;;visual;0;neutral;;high;True;3.977;pitch;;True;neutral;;50;3;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:high;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
smooth:complex;;;visual;0;pointy;;;False;11.123;complexity;;True;neutral;;50;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
smooth:low;;;visual;0;pointy;;high;True;5.504;pitch;;True;neutral;;75;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
simple:light;;;visual;0;neutral;;;False;14.532;lightness;;True;neutral;;75;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
red:low;;;visual;0;neutral;;high;True;2.527;pitch;;True;red;;75;3;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
smooth:square;;;visual;0;pointy;;neutral;True;3.02;timbre;;True;neutral;;50;3;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
simple:blue;;;visual;0;neutral;;;False;21.946;hue;;True;red;;75;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
simple:square;;;visual;0;neutral;;neutral;True;8.436;timbre;;True;neutral;;50;3;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Hazel;keyboard;dk;rate_CMC;male;23;yes;537;no
