right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
red:square;;;visual;0;neutral;;neutral;True;13.395;timbre;;True;blue;;50;2;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
sine:low;;;auditory;0;neutral;;high;True;19.758;pitch;;1;neutral;;50;5;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:square;;;visual;0;pointy;;neutral;True;8.858;timbre;;True;neutral;;75;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:light;;;visual;0;pointy;;;False;16.749;lightness;;True;neutral;;50;1;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:low;;;visual;0;neutral;;high;True;6.53;pitch;;True;blue;;50;4;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
dark:square;;;visual;0;neutral;;neutral;True;4.97;timbre;;True;neutral;;50;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
dark:low;;;visual;0;neutral;;high;True;5.478;pitch;;True;neutral;;75;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:complex;;;visual;0;pointy;;;False;21.184;complexity;;True;neutral;;50;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:square;;;visual;0;neutral;;neutral;True;4.628;timbre;;True;neutral;;50;4;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:low;;;visual;0;neutral;;high;True;5.019;pitch;;True;neutral;;75;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:light;;;visual;0;neutral;;;False;16.277;lightness;;True;neutral;;75;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:blue;;;visual;0;neutral;;;False;11.085;hue;;True;red;;75;2;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:light;;;visual;0;neutral;;;False;21.046;lightness;;True;blue;;75;1;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:low;;;visual;0;pointy;;high;True;4.135;pitch;;True;neutral;;50;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:blue;;;visual;0;pointy;;;False;8.995;hue;;True;red;;50;2;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:square;;;visual;0;neutral;;neutral;True;3.613;timbre;;True;blue;;75;2;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
sine:low;;;auditory;0;neutral;;high;True;10.232;pitch;;1;neutral;;75;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:square;;;visual;0;pointy;;neutral;True;3.484;timbre;;True;neutral;;50;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:light;;;visual;0;pointy;;;False;10.892;lightness;;True;neutral;;50;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:low;;;visual;0;neutral;;high;True;2.724;pitch;;True;blue;;75;6;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
dark:square;;;visual;0;neutral;;neutral;True;3.472;timbre;;True;neutral;;75;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
dark:low;;;visual;0;neutral;;high;True;2.645;pitch;;True;neutral;;75;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:complex;;;visual;0;pointy;;;False;9.664;complexity;;True;neutral;;75;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:square;;;visual;0;neutral;;neutral;True;2.155;timbre;;True;neutral;;75;4;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:low;;;visual;0;neutral;;high;True;2.171;pitch;;True;neutral;;75;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:light;;;visual;0;neutral;;;False;8.316;lightness;;True;neutral;;50;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:blue;;;visual;0;neutral;;;False;7.207;hue;;True;red;;50;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:light;;;visual;0;neutral;;;False;9.42;lightness;;True;blue;;50;1;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:low;;;visual;0;pointy;;high;True;3.788;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:blue;;;visual;0;pointy;;;False;10.786;hue;;True;red;;50;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:square;;;visual;0;neutral;;neutral;True;3.346;timbre;;True;blue;;75;2;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
sine:low;;;auditory;0;neutral;;high;True;3.627;pitch;;1;neutral;;50;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:square;;;visual;0;pointy;;neutral;True;2.92;timbre;;True;neutral;;75;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:light;;;visual;0;pointy;;;False;8.262;lightness;;True;neutral;;75;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:low;;;visual;0;neutral;;high;True;2.801;pitch;;True;blue;;75;6;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
dark:square;;;visual;0;neutral;;neutral;True;2.891;timbre;;True;neutral;;75;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
dark:low;;;visual;0;neutral;;high;True;4.202;pitch;;True;neutral;;50;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:complex;;;visual;0;pointy;;;False;9.385;complexity;;True;neutral;;75;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:square;;;visual;0;neutral;;neutral;True;3.64;timbre;;True;neutral;;75;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:low;;;visual;0;neutral;;high;True;2.866;pitch;;True;neutral;;50;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:light;;;visual;0;neutral;;;False;8.105;lightness;;True;neutral;;75;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
simple:blue;;;visual;0;neutral;;;False;7.191;hue;;True;red;;75;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
red:light;;;visual;0;neutral;;;False;7.882;lightness;;True;blue;;50;1;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:low;;;visual;0;pointy;;high;True;2.697;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
smooth:blue;;;visual;0;pointy;;;False;6.544;hue;;True;red;;75;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;26;yes;541;no
