right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
sine:low;;;auditory;0;neutral;;high;True;27.4;pitch;;1;neutral;;75;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:low;;;visual;0;smooth;;high;True;10.993;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:low;;;visual;0;neutral;;high;True;6.647;pitch;;True;neutral;;75;6;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:complex;;;visual;0;pointy;;;False;20.877;complexity;;True;neutral;;75;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
dark:low;;;visual;0;neutral;;low;True;10.388;pitch;;True;neutral;;75;2;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:low;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:blue;;;visual;0;neutral;;;False;24.394;hue;;True;red;;75;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:blue;;;visual;0;pointy;;;False;19.149;hue;;True;red;;75;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
dark:square;;;visual;0;neutral;;neutral;True;12.47;timbre;;True;neutral;;50;6;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:low;;;visual;0;neutral;;low;True;14.001;pitch;;True;blue;;50;4;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:light;;;visual;0;pointy;;;False;16.858;lightness;;True;neutral;;50;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:square;;;visual;0;neutral;;neutral;True;3.944;timbre;;True;blue;;50;3;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:light;;;visual;0;neutral;;;False;30.033;lightness;;True;blue;;75;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:square;;;visual;0;pointy;;neutral;True;2.601;timbre;;True;neutral;;75;4;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:light;;;visual;0;neutral;;;False;13.513;lightness;;True;neutral;;50;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:square;;;visual;0;neutral;;neutral;True;10.83;timbre;;True;neutral;;50;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
sine:low;;;auditory;0;neutral;;high;True;9.454;pitch;;1;neutral;;75;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:low;;;visual;0;pointy;;high;True;6.164;pitch;;True;neutral;;75;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:low;;;visual;0;neutral;;high;True;1.96;pitch;;True;neutral;;75;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:complex;;;visual;0;pointy;;;False;20.363;complexity;;True;neutral;;75;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
dark:low;;;visual;0;neutral;;high;True;5.95;pitch;;True;neutral;;75;4;rate;auditory;dark;lightness;neutral;0;neutral;;dark:high;dark:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:blue;;;visual;0;neutral;;;False;15.228;hue;;True;red;;75;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:blue;;;visual;0;pointy;;;False;29.981;hue;;True;red;;50;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
dark:square;;;visual;0;neutral;;neutral;True;7.373;timbre;;True;neutral;;75;3;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:low;;;visual;0;neutral;;high;True;15.632;pitch;;True;blue;;75;5;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:light;;;visual;0;pointy;;;False;18.835;lightness;;True;neutral;;75;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:square;;;visual;0;neutral;;neutral;True;14.464;timbre;;True;blue;;75;4;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:light;;;visual;0;neutral;;;False;10.174;lightness;;True;blue;;75;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:square;;;visual;0;smooth;;neutral;True;8.956;timbre;;True;neutral;;50;4;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:light;;;visual;0;neutral;;;False;14.856;lightness;;True;neutral;;75;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:square;;;visual;0;neutral;;neutral;True;12.361;timbre;;True;neutral;;75;2;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
sine:low;;;auditory;0;neutral;;high;True;3.082;pitch;;1;neutral;;75;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:low;;;visual;0;pointy;;high;True;1.478;pitch;;True;neutral;;75;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:low;;;visual;0;neutral;;high;True;6.601;pitch;;True;neutral;;75;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:complex;;;visual;0;pointy;;;False;21.023;complexity;;True;neutral;;50;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
dark:low;;;visual;0;neutral;;high;True;4.378;pitch;;True;neutral;;50;5;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:blue;;;visual;0;neutral;;;False;11.37;hue;;True;red;;50;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:blue;;;visual;0;pointy;;;False;39.993;hue;;True;red;;75;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
dark:square;;;visual;0;neutral;;neutral;True;4.458;timbre;;True;neutral;;50;5;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:low;;;visual;0;neutral;;high;True;2.527;pitch;;True;blue;;75;6;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:light;;;visual;0;pointy;;;False;9.316;lightness;;True;neutral;;75;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:square;;;visual;0;neutral;;neutral;True;2.265;timbre;;True;blue;;75;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
red:light;;;visual;0;neutral;;;False;16.325;lightness;;True;blue;;50;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
smooth:square;;;visual;0;pointy;;neutral;True;9.528;timbre;;True;neutral;;75;3;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:light;;;visual;0;neutral;;;False;9.073;lightness;;True;neutral;;50;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
simple:square;;;visual;0;neutral;;neutral;True;1.658;timbre;;True;neutral;;75;5;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Malene;keyboard;dk;rate_CMC;female;21;yes;515;no
