right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
simple:blue;;;visual;0;neutral;;;False;44.711;hue;;True;red;;75;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:blue;;;visual;0;pointy;;;False;38.585;hue;;True;red;;75;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
simple:square;;;visual;0;neutral;;neutral;True;5.609;timbre;;True;neutral;;50;4;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
sine:low;;;auditory;0;neutral;;high;True;13.906;pitch;;1;neutral;;75;2;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
simple:low;;;visual;0;neutral;;high;True;8.571;pitch;;True;neutral;;75;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:low;;;visual;0;pointy;;high;True;3.398;pitch;;True;neutral;;50;4;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
dark:low;;;visual;0;neutral;;high;True;6.818;pitch;;True;neutral;;50;4;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:complex;;;visual;0;pointy;;;False;22.791;complexity;;True;neutral;;75;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:light;;;visual;0;pointy;;;False;18.152;lightness;;True;neutral;;50;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
red:low;;;visual;0;neutral;;high;True;9.264;pitch;;True;blue;;50;4;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
red:light;;;visual;0;neutral;;;False;18.707;lightness;;True;blue;;50;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
simple:light;;;visual;0;neutral;;;False;13.911;lightness;;True;neutral;;50;5;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:square;;;visual;0;pointy;;neutral;True;6.949;timbre;;True;neutral;;50;4;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
dark:square;;;visual;0;neutral;;neutral;True;14.369;timbre;;True;neutral;;50;3;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
red:square;;;visual;0;neutral;;neutral;True;16.224;timbre;;True;blue;;75;4;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
simple:blue;;;visual;0;neutral;;;False;21.101;hue;;True;red;;50;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:blue;;;visual;0;pointy;;;False;38.699;hue;;True;red;;50;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
simple:square;;;visual;0;neutral;;neutral;True;14.565;timbre;;True;neutral;;50;2;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
sine:low;;;auditory;0;neutral;;high;True;23.95;pitch;;1;neutral;;75;6;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
simple:low;;;visual;0;neutral;;high;True;6.565;pitch;;True;neutral;;75;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:low;;;visual;0;smooth;;high;True;10.84;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
dark:low;;;visual;0;neutral;;high;True;1.689;pitch;;True;neutral;;50;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:complex;;;visual;0;pointy;;;False;18.911;complexity;;True;neutral;;75;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:light;;;visual;0;pointy;;;False;22.645;lightness;;True;neutral;;75;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
red:low;;;visual;0;neutral;;low;True;4.465;pitch;;True;red;;50;6;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:low;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
red:light;;;visual;0;neutral;;;False;35.852;lightness;;True;blue;;75;3;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
simple:light;;;visual;0;neutral;;;False;8.762;lightness;;True;neutral;;50;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
smooth:square;;;visual;0;pointy;;neutral;True;1.557;timbre;;True;neutral;;50;3;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Nina;keyboard;dk;rate_CMC;female;23;yes;542;no
