right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:square;;;visual;0;smooth;;neutral;True;10.373;timbre;;True;neutral;;75;4;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;smooth:square;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
sine:low;;;auditory;0;neutral;;low;True;15.535;pitch;;1;neutral;;50;4;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
dark:square;;;visual;0;neutral;;neutral;True;12.43;timbre;;True;neutral;;75;3;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
smooth:blue;;;visual;0;pointy;;;False;22.828;hue;;True;red;;75;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
simple:low;;;visual;0;neutral;;high;True;4.385;pitch;;True;neutral;;75;3;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:high;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
red:light;;;visual;0;neutral;;;False;13.338;lightness;;True;blue;;50;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
smooth:light;;;visual;0;pointy;;;False;12.313;lightness;;True;neutral;;50;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
simple:square;;;visual;0;neutral;;neutral;True;3.463;timbre;;True;neutral;;50;5;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
smooth:low;;;visual;0;pointy;;high;True;2.762;pitch;;True;neutral;;50;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
red:low;;;visual;0;neutral;;high;True;4.701;pitch;;True;blue;;75;3;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;male;32;yes;511;no
