right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:blue;;;visual;0;pointy;;;False;24.417;hue;;True;red;;75;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
sine:low;;;auditory;0;neutral;;high;True;21.799;pitch;;1;neutral;;50;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
simple:square;;;visual;0;neutral;;neutral;True;16.634;timbre;;True;neutral;;50;5;rate;auditory;neutral;complexity;square;0;simple;;simple:sine;simple:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
dark:square;;;visual;0;neutral;;neutral;True;20.754;timbre;;True;neutral;;50;4;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
smooth:complex;;;visual;0;pointy;;;False;16.813;complexity;;True;neutral;;50;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
smooth:square;;;visual;0;pointy;;neutral;True;3.611;timbre;;True;neutral;;50;1;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
red:low;;;visual;0;neutral;;high;True;2.615;pitch;;True;red;;75;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
red:light;;;visual;0;neutral;;;False;13.764;lightness;;True;blue;;50;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
simple:light;;;visual;0;neutral;;;False;18.806;lightness;;True;neutral;;75;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
simple:low;;;visual;0;neutral;;high;True;3.332;pitch;;True;neutral;;75;2;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
smooth:light;;;visual;0;pointy;;;False;11.623;lightness;;True;neutral;;50;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
simple:blue;;;visual;0;neutral;;;False;10.466;hue;;True;red;;50;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
smooth:low;;;visual;0;smooth;;low;True;4.193;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
dark:low;;;visual;0;neutral;;high;True;4.452;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Malene;keyboard;dk;rate_CMC;female;21;yes;524;no
