right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
dark:square;;;visual;0;neutral;;neutral;True;35.038;timbre;;True;neutral;;50;4;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:square;;;visual;0;pointy;;neutral;True;20.386;timbre;;True;neutral;;75;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
sine:low;;;auditory;0;neutral;;high;True;5.659;pitch;;1;neutral;;75;1;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:low;;;visual;0;neutral;;high;True;5.275;pitch;;True;blue;;75;6;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:square;;;visual;0;neutral;;neutral;True;4.013;timbre;;True;neutral;;50;4;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:light;;;visual;0;neutral;;;False;16.096;lightness;;True;neutral;;75;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:blue;;;visual;0;neutral;;;False;12.814;hue;;True;red;;50;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:square;;;visual;0;neutral;;neutral;True;10.227;timbre;;True;blue;;50;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:complex;;;visual;0;pointy;;;False;13.042;complexity;;True;neutral;;75;7;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:low;;;visual;0;pointy;;high;True;9.097;pitch;;True;neutral;;75;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:blue;;;visual;0;pointy;;;False;8.231;hue;;True;red;;50;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:light;;;visual;0;pointy;;;False;17.157;lightness;;True;neutral;;75;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
dark:low;;;visual;0;neutral;;high;True;6.372;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:light;;;visual;0;neutral;;;False;13.114;lightness;;True;blue;;50;1;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:low;;;visual;0;neutral;;high;True;2.034;pitch;;True;neutral;;75;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
dark:square;;;visual;0;neutral;;neutral;True;6.089;timbre;;True;neutral;;75;1;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:square;;;visual;0;pointy;;neutral;True;6.026;timbre;;True;neutral;;50;7;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
sine:low;;;auditory;0;neutral;;high;True;11.674;pitch;;1;neutral;;75;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:low;;;visual;0;neutral;;low;True;7.648;pitch;;True;blue;;50;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:square;;;visual;0;neutral;;neutral;True;3.091;timbre;;True;neutral;;75;1;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:light;;;visual;0;neutral;;;False;13.022;lightness;;True;neutral;;50;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:blue;;;visual;0;neutral;;;False;13.148;hue;;True;red;;50;4;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:square;;;visual;0;neutral;;neutral;True;9.126;timbre;;True;red;;50;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;red:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:complex;;;visual;0;pointy;;;False;8.486;complexity;;True;neutral;;75;7;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:low;;;visual;0;pointy;;high;True;4.893;pitch;;True;neutral;;75;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:blue;;;visual;0;pointy;;;False;15.27;hue;;True;red;;75;4;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:light;;;visual;0;pointy;;;False;9.718;lightness;;True;neutral;;50;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
dark:low;;;visual;0;neutral;;high;True;1.951;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:light;;;visual;0;neutral;;;False;7.922;lightness;;True;blue;;50;1;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:low;;;visual;0;neutral;;high;True;3.031;pitch;;True;neutral;;50;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
dark:square;;;visual;0;neutral;;neutral;True;3.856;timbre;;True;neutral;;50;1;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:square;;;visual;0;pointy;;neutral;True;6.515;timbre;;True;neutral;;75;7;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
sine:low;;;auditory;0;neutral;;high;True;16.037;pitch;;1;neutral;;75;4;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:low;;;visual;0;neutral;;low;True;3.528;pitch;;True;blue;;50;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:square;;;visual;0;neutral;;neutral;True;24.379;timbre;;True;neutral;;75;1;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:light;;;visual;0;neutral;;;False;14.778;lightness;;True;neutral;;50;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:blue;;;visual;0;neutral;;;False;8.689;hue;;True;red;;50;4;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:square;;;visual;0;neutral;;neutral;True;1.835;timbre;;True;blue;;75;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:complex;;;visual;0;pointy;;;False;10.924;complexity;;True;neutral;;75;7;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:low;;;visual;0;pointy;;low;True;4.511;pitch;;True;neutral;;50;1;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:blue;;;visual;0;pointy;;;False;7.078;hue;;True;red;;50;4;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
smooth:light;;;visual;0;pointy;;;False;6.92;lightness;;True;neutral;;50;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
dark:low;;;visual;0;neutral;;high;True;1.972;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
red:light;;;visual;0;neutral;;;False;7.59;lightness;;True;blue;;50;1;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
simple:low;;;visual;0;neutral;;low;True;18.261;pitch;;True;neutral;;75;2;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;100;Hazel;keyboard;dk;rate_CMC;female;20;yes;551;no
