right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
red:light;;;visual;0;neutral;;;False;46.78;lightness;;True;blue;;45;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;20;yes;04;no
simple:low;;;visual;0;neutral;;high;True;20.277;pitch;;True;neutral;;30;2;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;20;yes;04;no
smooth:low;;;visual;0;pointy;;high;True;7.879;pitch;;True;neutral;;30;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;female;20;yes;04;no
simple:blue;;;visual;0;neutral;;;False;14.842;hue;;True;red;;45;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;20;yes;04;no
simple:square;;;visual;0;neutral;;neutral;True;1.781;timbre;;True;neutral;;45;6;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;female;20;yes;04;no
smooth:complex;;;visual;0;pointy;;;False;17.266;complexity;;True;neutral;;30;7;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;20;yes;04;no
simple:light;;;visual;0;neutral;;;False;9.3;lightness;;True;neutral;;30;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;20;yes;04;no
red:square;;;visual;0;neutral;;neutral;True;3.533;timbre;;True;blue;;30;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;20;yes;04;no
sine:low;;;auditory;0;neutral;;high;True;17.207;pitch;;1;neutral;;30;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;20;yes;04;no
smooth:light;;;visual;0;pointy;;;False;7.526;lightness;;True;neutral;;30;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;20;yes;04;no
dark:square;;;visual;0;neutral;;neutral;True;3.783;timbre;;True;neutral;;45;2;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;keyboard;en;rate_CMC;female;20;yes;04;no
smooth:square;;;visual;0;pointy;;neutral;True;1.629;timbre;;True;neutral;;30;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;en;rate_CMC;female;20;yes;04;no
dark:low;;;visual;0;neutral;;high;True;2.895;pitch;;True;neutral;;45;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;20;yes;04;no
red:low;;;visual;0;neutral;;high;True;3.855;pitch;;True;blue;;45;4;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;20;yes;04;no
smooth:blue;;;visual;0;pointy;;;False;6.653;hue;;True;red;;45;4;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;20;yes;04;no
red:light;;;visual;0;neutral;;;False;7.015;lightness;;True;blue;;45;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;20;yes;04;no
