right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:square;;;visual;0;pointy;;neutral;True;15.713;timbre;;True;neutral;;45;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:blue;;;visual;0;pointy;;;False;24.092;hue;;True;red;;45;2;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;male;25;yes;03;no
red:square;;;visual;0;neutral;;neutral;True;2.974;timbre;;True;blue;;30;2;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;male;25;yes;03;no
dark:square;;;visual;0;neutral;;neutral;True;8.111;timbre;;True;neutral;;30;1;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;keyboard;en;rate_CMC;male;25;yes;03;no
sine:low;;;auditory;0;neutral;;low;True;61.708;pitch;;1;neutral;;30;2;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;en;rate_CMC;male;25;yes;03;no
simple:light;;;visual;0;neutral;;;False;22.249;lightness;;True;neutral;;30;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;male;25;yes;03;no
simple:blue;;;visual;0;neutral;;;False;18.464;hue;;True;red;;45;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:light;;;visual;0;pointy;;;False;9.19;lightness;;True;neutral;;30;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:low;;;visual;0;pointy;;high;True;6.115;pitch;;True;neutral;;45;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;male;25;yes;03;no
simple:low;;;visual;0;neutral;;high;True;14.399;pitch;;True;neutral;;45;3;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;male;25;yes;03;no
dark:low;;;visual;0;neutral;;high;True;2.841;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:complex;;;visual;0;pointy;;;False;25.202;complexity;;True;neutral;;30;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;male;25;yes;03;no
red:light;;;visual;0;neutral;;;False;10.392;lightness;;True;blue;;45;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;male;25;yes;03;no
red:low;;;visual;0;neutral;;low;True;6.378;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;keyboard;en;rate_CMC;male;25;yes;03;no
simple:square;;;visual;0;neutral;;neutral;True;6.521;timbre;;True;neutral;;45;5;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:square;;;visual;0;pointy;;neutral;True;5.967;timbre;;True;neutral;;45;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:blue;;;visual;0;pointy;;;False;11.82;hue;;True;red;;30;2;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;male;25;yes;03;no
red:square;;;visual;0;neutral;;neutral;True;6.506;timbre;;True;blue;;45;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;male;25;yes;03;no
dark:square;;;visual;0;neutral;;neutral;True;2.98;timbre;;True;neutral;;45;2;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;keyboard;en;rate_CMC;male;25;yes;03;no
sine:low;;;auditory;0;neutral;;low;True;20.927;pitch;;1;neutral;;45;3;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;en;rate_CMC;male;25;yes;03;no
simple:light;;;visual;0;neutral;;;False;37.894;lightness;;True;neutral;;30;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;male;25;yes;03;no
simple:blue;;;visual;0;neutral;;;False;11.335;hue;;True;red;;30;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:light;;;visual;0;pointy;;;False;11.718;lightness;;True;neutral;;30;3;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:low;;;visual;0;pointy;;high;True;6.345;pitch;;True;neutral;;30;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;male;25;yes;03;no
simple:low;;;visual;0;neutral;;low;True;6.731;pitch;;True;neutral;;30;3;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;keyboard;en;rate_CMC;male;25;yes;03;no
dark:low;;;visual;0;neutral;;high;True;4.97;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:complex;;;visual;0;pointy;;;False;13.027;complexity;;True;neutral;;30;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;male;25;yes;03;no
red:light;;;visual;0;neutral;;;False;7.347;lightness;;True;blue;;45;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;male;25;yes;03;no
red:low;;;visual;0;neutral;;low;True;3.282;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;keyboard;en;rate_CMC;male;25;yes;03;no
simple:square;;;visual;0;neutral;;neutral;True;1.72;timbre;;True;neutral;;45;6;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:square;;;visual;0;pointy;;neutral;True;6.242;timbre;;True;neutral;;30;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;en;rate_CMC;male;25;yes;03;no
smooth:blue;;;visual;0;pointy;;;False;8.706;hue;;True;red;;30;2;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;male;25;yes;03;no
red:square;;;visual;0;neutral;;neutral;True;1.801;timbre;;True;blue;;30;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;male;25;yes;03;no
dark:square;;;visual;0;neutral;;neutral;True;2.574;timbre;;True;neutral;;45;3;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;keyboard;en;rate_CMC;male;25;yes;03;no
