right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
simple:low;;;visual;0;neutral;;high;True;33.929;pitch;;True;neutral;;45;1;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;22;yes;01;no
red:light;;;visual;0;neutral;;;False;23.039;lightness;;True;blue;;30;1;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:blue;;;visual;0;pointy;;;False;15.7;hue;;True;red;;30;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;22;yes;01;no
simple:light;;;visual;0;neutral;;;False;10.435;lightness;;True;neutral;;30;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:square;;;visual;0;pointy;;neutral;True;2.883;timbre;;True;neutral;;45;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;en;rate_CMC;female;22;yes;01;no
simple:square;;;visual;0;neutral;;neutral;True;3.063;timbre;;True;neutral;;45;7;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:complex;;;visual;0;pointy;;;False;18.682;complexity;;True;neutral;;30;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;22;yes;01;no
dark:low;;;visual;0;neutral;;high;True;3.8;pitch;;True;neutral;;30;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:low;;;visual;0;pointy;;high;True;1.621;pitch;;True;neutral;;30;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;female;22;yes;01;no
simple:blue;;;visual;0;neutral;;;False;6.723;hue;;True;red;;30;2;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;22;yes;01;no
red:low;;;visual;0;neutral;;high;True;2.358;pitch;;True;blue;;45;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;22;yes;01;no
red:square;;;visual;0;neutral;;neutral;True;1.804;timbre;;True;blue;;45;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:light;;;visual;0;pointy;;;False;7.494;lightness;;True;neutral;;30;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;22;yes;01;no
dark:square;;;visual;0;neutral;;neutral;True;1.501;timbre;;True;neutral;;45;1;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;keyboard;en;rate_CMC;female;22;yes;01;no
sine:low;;;auditory;0;neutral;;high;True;1.798;pitch;;1;neutral;;45;4;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;22;yes;01;no
simple:low;;;visual;0;neutral;;high;True;3.258;pitch;;True;neutral;;30;1;rate;auditory;neutral;complexity;neutral;0;simple;;simple:high;simple:high;keyboard;en;rate_CMC;female;22;yes;01;no
red:light;;;visual;0;neutral;;;False;12.672;lightness;;True;blue;;30;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:blue;;;visual;0;pointy;;;False;9.362;hue;;True;red;;30;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;22;yes;01;no
simple:light;;;visual;0;neutral;;;False;7.052;lightness;;True;neutral;;45;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:square;;;visual;0;smooth;;neutral;True;4.71;timbre;;True;neutral;;30;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;keyboard;en;rate_CMC;female;22;yes;01;no
simple:square;;;visual;0;neutral;;neutral;True;3.141;timbre;;True;neutral;;30;2;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:complex;;;visual;0;pointy;;;False;17.37;complexity;;True;neutral;;45;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;22;yes;01;no
dark:low;;;visual;0;neutral;;high;True;1.598;pitch;;True;neutral;;45;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:low;;;visual;0;smooth;;low;True;1.547;pitch;;True;neutral;;45;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;keyboard;en;rate_CMC;female;22;yes;01;no
simple:blue;;;visual;0;neutral;;;False;9.318;hue;;True;red;;30;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;22;yes;01;no
red:low;;;visual;0;neutral;;high;True;2.163;pitch;;True;blue;;30;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;22;yes;01;no
red:square;;;visual;0;neutral;;neutral;True;2.319;timbre;;True;red;;45;6;rate;auditory;neutral;hue;square;0;neutral;;red:sine;red:square;keyboard;en;rate_CMC;female;22;yes;01;no
smooth:light;;;visual;0;pointy;;;False;6.492;lightness;;True;neutral;;30;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;22;yes;01;no
dark:square;;;visual;0;neutral;;neutral;True;6.074;timbre;;True;neutral;;30;2;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;keyboard;en;rate_CMC;female;22;yes;01;no
