right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:square;;;visual;0;pointy;;neutral;True;81.95;timbre;;True;neutral;;45;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;en;rate_CMC;female;24;yes;05;no
red:square;;;visual;0;neutral;;neutral;True;7.96;timbre;;True;blue;;45;2;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;24;yes;05;no
red:low;;;visual;0;neutral;;high;True;12.473;pitch;;True;blue;;30;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:complex;;;visual;0;pointy;;;False;28.648;complexity;;True;neutral;;45;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;24;yes;05;no
simple:blue;;;visual;0;neutral;;;False;23.48;hue;;True;red;;45;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:low;;;visual;0;smooth;;low;True;15.914;pitch;;True;neutral;;45;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:light;;;visual;0;pointy;;;False;12.112;lightness;;True;neutral;;30;7;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;24;yes;05;no
dark:square;;;visual;0;neutral;;neutral;True;11.102;timbre;;True;neutral;;30;6;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;dark:square;keyboard;en;rate_CMC;female;24;yes;05;no
simple:square;;;visual;0;neutral;;neutral;True;7.363;timbre;;True;neutral;;45;2;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;keyboard;en;rate_CMC;female;24;yes;05;no
dark:low;;;visual;0;neutral;;high;True;6.107;pitch;;True;neutral;;45;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;24;yes;05;no
simple:light;;;visual;0;neutral;;;False;8.48;lightness;;True;neutral;;45;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;24;yes;05;no
sine:low;;;auditory;0;neutral;;high;True;7.68;pitch;;1;neutral;;45;3;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;24;yes;05;no
simple:low;;;visual;0;neutral;;high;True;24.233;pitch;;True;neutral;;30;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:blue;;;visual;0;pointy;;;False;11.908;hue;;True;red;;30;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;24;yes;05;no
red:light;;;visual;0;neutral;;;False;18.827;lightness;;True;blue;;30;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:square;;;visual;0;pointy;;neutral;True;12.009;timbre;;True;neutral;;30;3;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;keyboard;en;rate_CMC;female;24;yes;05;no
red:square;;;visual;0;neutral;;neutral;True;13.08;timbre;;True;blue;;45;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;24;yes;05;no
red:low;;;visual;0;neutral;;high;True;22.511;pitch;;True;blue;;45;4;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:complex;;;visual;0;pointy;;;False;7.447;complexity;;True;neutral;;30;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;24;yes;05;no
simple:blue;;;visual;0;neutral;;;False;12.257;hue;;True;red;;45;3;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:low;;;visual;0;pointy;;high;True;2.744;pitch;;True;neutral;;45;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:light;;;visual;0;pointy;;;False;7.428;lightness;;True;neutral;;30;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;24;yes;05;no
dark:square;;;visual;0;neutral;;neutral;True;18.103;timbre;;True;neutral;;30;3;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;keyboard;en;rate_CMC;female;24;yes;05;no
simple:square;;;visual;0;neutral;;neutral;True;12.515;timbre;;True;neutral;;30;2;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;keyboard;en;rate_CMC;female;24;yes;05;no
dark:low;;;visual;0;neutral;;high;True;3.609;pitch;;True;neutral;;45;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;24;yes;05;no
simple:light;;;visual;0;neutral;;;False;9.201;lightness;;True;neutral;;45;6;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;24;yes;05;no
sine:low;;;auditory;0;neutral;;high;True;6.831;pitch;;1;neutral;;30;3;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;24;yes;05;no
simple:low;;;visual;0;neutral;;high;True;7.459;pitch;;True;neutral;;30;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:blue;;;visual;0;pointy;;;False;7.286;hue;;True;red;;30;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;24;yes;05;no
red:light;;;visual;0;neutral;;;False;9.121;lightness;;True;blue;;45;5;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:square;;;visual;0;pointy;;neutral;True;5.872;timbre;;True;neutral;;45;3;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;keyboard;en;rate_CMC;female;24;yes;05;no
red:square;;;visual;0;neutral;;neutral;True;3.996;timbre;;True;blue;;30;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;24;yes;05;no
red:low;;;visual;0;neutral;;high;True;7.804;pitch;;True;blue;;45;3;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:complex;;;visual;0;pointy;;;False;6.883;complexity;;True;neutral;;30;3;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;24;yes;05;no
simple:blue;;;visual;0;neutral;;;False;13.005;hue;;True;red;;45;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:low;;;visual;0;pointy;;high;True;11.25;pitch;;True;neutral;;30;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;female;24;yes;05;no
smooth:light;;;visual;0;pointy;;;False;6.497;lightness;;True;neutral;;30;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;24;yes;05;no
dark:square;;;visual;0;neutral;;neutral;True;10.185;timbre;;True;neutral;;30;3;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;keyboard;en;rate_CMC;female;24;yes;05;no
simple:square;;;visual;0;neutral;;neutral;True;3.717;timbre;;True;neutral;;45;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;female;24;yes;05;no
dark:low;;;visual;0;neutral;;low;True;19.796;pitch;;True;neutral;;30;3;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:low;keyboard;en;rate_CMC;female;24;yes;05;no
simple:light;;;visual;0;neutral;;;False;6.439;lightness;;True;neutral;;30;3;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;24;yes;05;no
sine:low;;;auditory;0;neutral;;high;True;2.335;pitch;;1;neutral;;45;3;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;24;yes;05;no
