right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
simple:light;;;visual;0;neutral;;;False;29.93;lightness;;True;neutral;;30;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:square;;;visual;0;pointy;;neutral;True;2.668;timbre;;True;neutral;;30;2;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;keyboard;dk;rate_CMC;female;27;yes;206;no
red:low;;;visual;0;neutral;;low;True;2.362;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:blue;;;visual;0;pointy;;;False;7.396;hue;;True;red;;45;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;dk;rate_CMC;female;27;yes;206;no
red:light;;;visual;0;neutral;;;False;6.062;lightness;;True;blue;;45;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:light;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:blue;;;visual;0;neutral;;;False;11.045;hue;;True;red;;30;7;rate;visual;neutral;complexity;;0;complex;;simple:red;simple:red;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:low;;;visual;0;neutral;;high;True;5.749;pitch;;True;neutral;;45;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:high;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:square;;;visual;0;neutral;;neutral;True;4.416;timbre;;True;neutral;;45;2;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;complex:sine;keyboard;dk;rate_CMC;female;27;yes;206;no
red:square;;;visual;0;neutral;;neutral;True;1.681;timbre;;True;red;;45;6;rate;auditory;neutral;hue;square;0;neutral;;red:sine;red:square;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:complex;;;visual;0;pointy;;;False;7.718;complexity;;True;neutral;;45;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:simple;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:low;;;visual;0;smooth;;low;True;2.6;pitch;;True;neutral;;45;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;keyboard;dk;rate_CMC;female;27;yes;206;no
dark:square;;;visual;0;neutral;;neutral;True;3.65;timbre;;True;neutral;;30;2;rate;auditory;dark;lightness;sine;0;neutral;;dark:sine;dark:square;keyboard;dk;rate_CMC;female;27;yes;206;no
sine:low;;;auditory;0;neutral;;high;True;5.865;pitch;;1;neutral;;30;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:light;;;visual;0;pointy;;;False;6.32;lightness;;True;neutral;;45;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;dk;rate_CMC;female;27;yes;206;no
dark:low;;;visual;0;neutral;;high;True;16.124;pitch;;True;neutral;;45;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;dk;rate_CMC;female;27;yes;206;no
