right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
simple:light;;;visual;0;neutral;;;False;93.271;lightness;;True;neutral;;30;6;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:light;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:square;;;visual;0;pointy;;neutral;True;7.125;timbre;;True;neutral;;30;1;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;smooth:sine;keyboard;dk;rate_CMC;female;27;yes;206;no
red:low;;;visual;0;neutral;;low;True;5.623;pitch;;True;blue;;30;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:low;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:blue;;;visual;0;pointy;;;False;8.74;hue;;True;red;;30;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;dk;rate_CMC;female;27;yes;206;no
red:light;;;visual;0;neutral;;;False;25.303;lightness;;True;blue;;30;4;rate;visual;dark;hue;;0;neutral;;red:dark;red:light;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:blue;;;visual;0;neutral;;;False;9.349;hue;;True;red;;30;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:low;;;visual;0;neutral;;high;True;5.278;pitch;;True;neutral;;30;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:square;;;visual;0;neutral;;neutral;True;7.216;timbre;;True;neutral;;30;2;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:square;keyboard;dk;rate_CMC;female;27;yes;206;no
red:square;;;visual;0;neutral;;neutral;True;2.92;timbre;;True;blue;;30;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:square;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:complex;;;visual;0;pointy;;;False;13.775;complexity;;True;neutral;;30;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:simple;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:low;;;visual;0;pointy;;high;True;2.033;pitch;;True;neutral;;30;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:high;keyboard;dk;rate_CMC;female;27;yes;206;no
dark:square;;;visual;0;neutral;;neutral;True;6.052;timbre;;True;neutral;;30;2;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:sine;keyboard;dk;rate_CMC;female;27;yes;206;no
sine:low;;;auditory;0;neutral;;low;True;10.626;pitch;;1;neutral;;45;4;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:light;;;visual;0;pointy;;;False;9.012;lightness;;True;neutral;;30;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;smooth:dark;keyboard;dk;rate_CMC;female;27;yes;206;no
dark:low;;;visual;0;neutral;;high;True;3.77;pitch;;True;neutral;;45;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;dark:low;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:light;;;visual;0;neutral;;;False;9.523;lightness;;True;neutral;;45;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:square;;;visual;0;smooth;;neutral;True;2.572;timbre;;True;neutral;;30;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:square;keyboard;dk;rate_CMC;female;27;yes;206;no
red:low;;;visual;0;neutral;;high;True;9.855;pitch;;True;red;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:low;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:blue;;;visual;0;pointy;;;False;36.933;hue;;True;red;;45;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:blue;keyboard;dk;rate_CMC;female;27;yes;206;no
red:light;;;visual;0;neutral;;;False;6.721;lightness;;True;blue;;30;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:light;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:blue;;;visual;0;neutral;;;False;11.155;hue;;True;red;;30;6;rate;visual;neutral;complexity;;0;complex;;simple:red;simple:red;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:low;;;visual;0;neutral;;high;True;3.535;pitch;;True;neutral;;30;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:low;keyboard;dk;rate_CMC;female;27;yes;206;no
simple:square;;;visual;0;neutral;;neutral;True;2.418;timbre;;True;neutral;;45;2;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;simple:square;keyboard;dk;rate_CMC;female;27;yes;206;no
red:square;;;visual;0;neutral;;neutral;True;3.445;timbre;;True;blue;;30;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:square;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:complex;;;visual;0;pointy;;;False;45.738;complexity;;True;neutral;;45;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:complex;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:low;;;visual;0;smooth;;low;True;7.216;pitch;;True;neutral;;30;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;dk;rate_CMC;female;27;yes;206;no
dark:square;;;visual;0;neutral;;neutral;True;2.394;timbre;;True;neutral;;30;2;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:sine;keyboard;dk;rate_CMC;female;27;yes;206;no
sine:low;;;auditory;0;neutral;;high;True;16.699;pitch;;1;neutral;;45;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;dk;rate_CMC;female;27;yes;206;no
smooth:light;;;visual;0;pointy;;;False;6.359;lightness;;True;neutral;;45;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;smooth:light;keyboard;dk;rate_CMC;female;27;yes;206;no
dark:low;;;visual;0;neutral;;high;True;4.339;pitch;;True;neutral;;45;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;dk;rate_CMC;female;27;yes;206;no
