right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
red:light;;;visual;0;neutral;;;False;6.477;lightness;;True;blue;;45;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;30;yes;204;no
dark:square;;;visual;0;neutral;;neutral;True;2.044;timbre;;True;neutral;;30;1;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;dark:square;keyboard;en;rate_CMC;female;30;yes;204;no
simple:low;;;visual;0;neutral;;high;True;4.775;pitch;;True;neutral;;30;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:complex;;;visual;0;pointy;;;False;6.08;complexity;;True;neutral;;45;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;30;yes;204;no
red:low;;;visual;0;neutral;;low;True;3.02;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:low;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:light;;;visual;0;pointy;;;False;7.608;lightness;;True;neutral;;45;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:low;;;visual;0;pointy;;high;True;2.252;pitch;;True;neutral;;30;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:blue;;;visual;0;pointy;;;False;6.25;hue;;True;red;;30;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:blue;keyboard;en;rate_CMC;female;30;yes;204;no
sine:low;;;auditory;0;neutral;;high;True;2.491;pitch;;1;neutral;;45;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;en;rate_CMC;female;30;yes;204;no
dark:low;;;visual;0;neutral;;high;True;3.747;pitch;;True;neutral;;30;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;30;yes;204;no
red:square;;;visual;0;neutral;;neutral;True;1.327;timbre;;True;blue;;45;7;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;red:sine;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:square;;;visual;0;pointy;;neutral;True;2.618;timbre;;True;neutral;;45;1;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;keyboard;en;rate_CMC;female;30;yes;204;no
simple:square;;;visual;0;neutral;;neutral;True;1.104;timbre;;True;neutral;;45;4;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:square;keyboard;en;rate_CMC;female;30;yes;204;no
simple:light;;;visual;0;neutral;;;False;0.814;lightness;;True;neutral;;30;5;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:dark;keyboard;en;rate_CMC;female;30;yes;204;no
simple:blue;;;visual;0;neutral;;;False;6.232;hue;;True;red;;45;5;rate;visual;neutral;complexity;;0;complex;;simple:red;simple:blue;keyboard;en;rate_CMC;female;30;yes;204;no
