right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
red:square;;;visual;0;neutral;;neutral;True;45.547;timbre;;True;blue;;30;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;21;yes;205;no
red:light;;;visual;0;neutral;;;False;47.947;lightness;;True;blue;;45;1;rate;visual;dark;hue;;0;neutral;;red:dark;red:dark;keyboard;en;rate_CMC;female;21;yes;205;no
dark:square;;;visual;0;neutral;;neutral;True;6.612;timbre;;True;neutral;;45;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;dark:sine;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:light;;;visual;0;pointy;;;False;20.595;lightness;;True;neutral;;45;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;smooth:light;keyboard;en;rate_CMC;female;21;yes;205;no
sine:low;;;auditory;0;neutral;;high;True;16.034;pitch;;1;neutral;;45;1;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:blue;;;visual;0;pointy;;;False;15.292;hue;;True;red;;45;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:blue;keyboard;en;rate_CMC;female;21;yes;205;no
simple:square;;;visual;0;neutral;;neutral;True;8.683;timbre;;True;neutral;;30;4;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;simple:sine;keyboard;en;rate_CMC;female;21;yes;205;no
dark:low;;;visual;0;neutral;;high;True;2.12;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;21;yes;205;no
simple:low;;;visual;0;neutral;;low;True;5.232;pitch;;True;neutral;;45;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:complex;;;visual;0;pointy;;;False;22.379;complexity;;True;neutral;;45;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:simple;keyboard;en;rate_CMC;female;21;yes;205;no
red:low;;;visual;0;neutral;;low;True;8.052;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:square;;;visual;0;pointy;;neutral;True;5.751;timbre;;True;neutral;;45;3;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:square;keyboard;en;rate_CMC;female;21;yes;205;no
simple:light;;;visual;0;neutral;;;False;19.567;lightness;;True;neutral;;45;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;21;yes;205;no
simple:blue;;;visual;0;neutral;;;False;9.078;hue;;True;red;;45;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:low;;;visual;0;pointy;;high;True;4.438;pitch;;True;neutral;;30;4;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:high;keyboard;en;rate_CMC;female;21;yes;205;no
red:square;;;visual;0;neutral;;neutral;True;3.689;timbre;;True;blue;;45;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;21;yes;205;no
red:light;;;visual;0;neutral;;;False;9.127;lightness;;True;blue;;45;2;rate;visual;dark;hue;;0;neutral;;red:dark;red:dark;keyboard;en;rate_CMC;female;21;yes;205;no
dark:square;;;visual;0;neutral;;neutral;True;4.224;timbre;;True;neutral;;45;2;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:sine;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:light;;;visual;0;pointy;;;False;16.904;lightness;;True;neutral;;45;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;smooth:light;keyboard;en;rate_CMC;female;21;yes;205;no
sine:low;;;auditory;0;neutral;;high;True;2.238;pitch;;1;neutral;;45;2;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:blue;;;visual;0;pointy;;;False;20.949;hue;;True;red;;30;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;21;yes;205;no
simple:square;;;visual;0;neutral;;neutral;True;13.332;timbre;;True;neutral;;45;3;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;keyboard;en;rate_CMC;female;21;yes;205;no
dark:low;;;visual;0;neutral;;high;True;5.145;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:low;keyboard;en;rate_CMC;female;21;yes;205;no
simple:low;;;visual;0;neutral;;high;True;2.393;pitch;;True;neutral;;30;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:low;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:complex;;;visual;0;pointy;;;False;8.349;complexity;;True;neutral;;30;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:complex;keyboard;en;rate_CMC;female;21;yes;205;no
red:low;;;visual;0;neutral;;high;True;2.897;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:square;;;visual;0;pointy;;neutral;True;4.21;timbre;;True;neutral;;30;6;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:square;keyboard;en;rate_CMC;female;21;yes;205;no
simple:light;;;visual;0;neutral;;;False;8.903;lightness;;True;neutral;;30;3;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:dark;keyboard;en;rate_CMC;female;21;yes;205;no
simple:blue;;;visual;0;neutral;;;False;12.51;hue;;True;red;;45;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:low;;;visual;0;pointy;;low;True;2.9;pitch;;True;neutral;;45;3;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;keyboard;en;rate_CMC;female;21;yes;205;no
red:square;;;visual;0;neutral;;neutral;True;2.619;timbre;;True;blue;;45;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;red:sine;keyboard;en;rate_CMC;female;21;yes;205;no
red:light;;;visual;0;neutral;;;False;7.982;lightness;;True;blue;;30;1;rate;visual;dark;hue;;0;neutral;;red:dark;red:light;keyboard;en;rate_CMC;female;21;yes;205;no
dark:square;;;visual;0;neutral;;neutral;True;4.557;timbre;;True;neutral;;45;2;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:sine;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:light;;;visual;0;pointy;;;False;6.963;lightness;;True;neutral;;45;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;21;yes;205;no
sine:low;;;auditory;0;neutral;;low;True;3.922;pitch;;1;neutral;;45;2;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:blue;;;visual;0;pointy;;;False;7.425;hue;;True;red;;30;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:blue;keyboard;en;rate_CMC;female;21;yes;205;no
simple:square;;;visual;0;neutral;;neutral;True;7.442;timbre;;True;neutral;;45;3;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;female;21;yes;205;no
dark:low;;;visual;0;neutral;;high;True;4.625;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;21;yes;205;no
simple:low;;;visual;0;neutral;;high;True;3.377;pitch;;True;neutral;;45;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:low;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:complex;;;visual;0;pointy;;;False;11.252;complexity;;True;neutral;;30;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;21;yes;205;no
red:low;;;visual;0;neutral;;high;True;1.896;pitch;;True;blue;;30;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:square;;;visual;0;pointy;;neutral;True;4.568;timbre;;True;neutral;;30;5;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;keyboard;en;rate_CMC;female;21;yes;205;no
simple:light;;;visual;0;neutral;;;False;9.454;lightness;;True;neutral;;45;2;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:dark;keyboard;en;rate_CMC;female;21;yes;205;no
simple:blue;;;visual;0;neutral;;;False;17.285;hue;;True;red;;30;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;21;yes;205;no
smooth:low;;;visual;0;pointy;;low;True;3.745;pitch;;True;neutral;;45;2;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;keyboard;en;rate_CMC;female;21;yes;205;no
